ID,Name,Type,ATK,DEF,Description,Suggested_Pool,Final_Pool
DM0001,3-Hump Lacooda,Monster (Effect),500,1500,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3",2.5,
DM0002,"30,000-Year White Turtle",Monster (Normal),1250,2100,"''A huge turtle that has existed for over 30,000 years.''",3.5,
DM0003,4-Starred Ladybug of Doom,Monster (Effect),800,1200,FLIP: Destroy all Level 4 monsters your opponent controls.,2.3,
DM0004,7,Spell,,,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then dest",3.5,
DM0005,7 Colored Fish,Monster (Normal),1800,800,A rare rainbow fish that has never been caught by mortal man.,3.1,
DM0006,7 Completed,Spell,,,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF,",3.5,
DM0007,8-Claws Scorpion,Monster (Effect),300,200,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opp",1.3,
DM0008,A Cat of Ill Omen,Monster (Effect),500,300,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the ",1.5,
DM0009,A Deal with Dark Ruler,Spell,,,"(This card is always treated as an ""Archfiend"" card.) If a Level 8 or higher monster under your cont",3.5,
DM0010,A Feather of the Phoenix,Spell,,,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",2.3,
DM0011,A Feint Plan,Trap,,,A player cannot attack face-down monsters during this turn.,2.3,
DM0012,A Hero Emerges,Trap,,,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, t",3.5,
DM0013,A Legendary Ocean,Spell,,,"(This card's name is always treated as ""Umi"".)  All WATER monsters on the field gain 200 ATK/DEF. Re",1.4,
DM0014,A Man with Wdjat,Monster (Effect),1600,1600,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your ",3.2,
DM0015,A Wingbeat of Giant Dragon,Spell,,,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all S",3.5,
DM0016,A-Team: Trap Disposal Unit,Monster (Effect),300,400,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribu",1.3,
DM0017,Absolute End,Trap,,,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters beco",2.3,
DM0018,Absorbing Kid from the Sky,Monster (Effect),1300,1000,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your",2.3,
DM0019,Abyss Flower,Monster (Normal),750,400,''A rarely seen flower that blossoms quietly on the edge of darkness.'',1.3,
DM0020,Abyss Soldier,Monster (Effect),1800,1300,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; retur,3.3,
DM0021,Abyssal Designator,Spell,,,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both t,2.3,
DM0022,Acid Crawler,Monster (Normal),900,700,''A giant caterpillar that secretes an acid mist that melts anything.'',1.5,
DM0023,Acid Rain,Spell,,,Destroy all face-up Machine-Type monsters on the field.,3.5,
DM0024,Acid Trap Hole,Trap,,,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DE",1.4,
DM0025,Acrobat Monkey,Monster (Normal),1000,1800,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acro,3.1,
