ID,Name,Type,ATK,DEF,Description,Suggested_Pool,Final_Pool
0001,3-Hump Lacooda,Monster (Effect),500,1500,"If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3",1.4,
0002,"30,000-Year White Turtle",Monster (Normal),1250,2100,"''A huge turtle that has existed for over 30,000 years.''",1.1,
0003,4-Starred Ladybug of Doom,Monster (Effect),800,1200,FLIP: Destroy all Level 4 monsters your opponent controls.,2.1,
0004,7,Spell,,,"When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then dest",4.5,
0005,7 Colored Fish,Monster (Normal),1800,800,A rare rainbow fish that has never been caught by mortal man.,3.1,
0006,7 Completed,Spell,,,"Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF,",1.4,
0007,8-Claws Scorpion,Monster (Effect),300,200,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opp",1.2,
0008,A Cat of Ill Omen,Monster (Effect),500,300,"FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if ""Necrovalley"" is on the ",1.4,
0009,A Deal with Dark Ruler,Spell,,,"(This card is always treated as an ""Archfiend"" card.) If a Level 8 or higher monster under your cont",4.5,
0010,A Feather of the Phoenix,Spell,,,"Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.",2.3,
0011,A Feint Plan,Trap,,,A player cannot attack face-down monsters during this turn.,2.3,
0012,A Hero Emerges,Trap,,,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, t",2.3,
0013,A Legendary Ocean,Spell,,,"(This card's name is always treated as ""Umi"".)  All WATER monsters on the field gain 200 ATK/DEF. Re",1.4,
0014,A Man with Wdjat,Monster (Effect),1600,1600,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your ",3.1,
0015,A Rival Appears!,Trap,,,Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has th,4.5,
0016,A Wingbeat of Giant Dragon,Spell,,,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all S",4.5,
0017,A-Team: Trap Disposal Unit,Monster (Effect),300,400,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribu",1.2,
0018,Absolute End,Trap,,,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters beco",2.3,
0019,Absorbing Kid from the Sky,Monster (Effect),1300,1000,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your",2.2,
0020,Abyss Flower,Monster (Normal),750,400,''A rarely seen flower that blossoms quietly on the edge of darkness.'',1.3,
0021,Abyss Soldier,Monster (Effect),1800,1300,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; retur,3.2,
0022,Abyssal Designator,Spell,,,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both t,2.3,
0023,Acid Crawler,Monster (Normal),900,700,''A giant caterpillar that secretes an acid mist that melts anything.'',1.5,
0024,Acid Rain,Spell,,,Destroy all face-up Machine-Type monsters on the field.,4.5,
0025,Acid Trap Hole,Trap,,,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DE",1.4,
0026,Acrobat Monkey,Monster (Normal),1000,1800,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acro,1.5,
0027,Adhesion Trap Hole,Trap,,,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,2.3,
0028,After the Struggle,Spell,,,This card can only be activated during Main Phase 1. All monsters on both sides of the field that ha,2.3,
0029,Agido,Monster (Effect),1500,1300,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. Y",2.4,
0030,Air Eater,Monster (Normal),2100,1600,"''A monster that feeds on oxygen, suffocating any who stand near.''",3.5,
0031,Airknight Parshath,Monster (Effect),1900,1400,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflic",3.4,
0032,Aitsu,Monster (Normal),100,100,"He seems to be very unreliable, but he might have incredible potential.",1.1,
0033,Akakieisu,Monster (Normal),1000,800,''A sorcerer who utters spells that render monsters unconscious.'',1.5,
0034,Akihiron,Monster (Normal),1700,1400,"''This strange creature hides in the deep, dark corners of the seven seas.''",1.5,
0035,Alinsection,Monster (Normal),950,700,A stag beetle with a saw-like head and arms.,1.5,
0036,Alligator's Sword,Monster (Normal),1500,1200,"ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!",2.3,
0037,Alligator's Sword Dragon,Monster (Fusion),1700,1500,"""Baby Dragon"" + ""Alligator's Sword"" This card can attack your opponent directly if the only face-up ",3.5,
0038,Alpha The Magnet Warrior,Monster (Normal),1400,1700,"''Alpha, Beta, and Gamma meld as one to form a powerful monster.''",2.3,
0039,Altar for Tribute,Trap,,,Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points b,1.4,
0040,Amazon of the Seas,Monster (Normal),1300,1400,A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.,2.1,
0041,Amazoness Archer,Monster (Effect),1400,1000,You can Tribute 2 monsters; inflict 1200 damage to your opponent.,2.4,
0042,Amazoness Archers,Trap,,,"When an opponent's monster declares an attack, while you control an ""Amazoness"" monster: Change all ",4.5,
0043,Amazoness Blowpiper,Monster (Effect),800,1500,Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK,2.1,
0044,Amazoness Chain Master,Monster (Effect),1500,1300,When this card is destroyed by battle and sent to the GY: You can pay 1500 LP; look at your opponent,2.4,
0045,Amazoness Fighter,Monster (Effect),1500,1300,You take no battle damage from attacks involving this card.,2.4,
0046,Amazoness Paladin,Monster (Effect),1700,300,"This card gains 100 ATK for each ""Amazoness"" monster you control.",3.1,
0047,Amazoness Spellcaster,Spell,,,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the or",4.5,
0048,Amazoness Swords Woman,Monster (Effect),1500,1600,Your opponent takes any battle damage you would have taken from battles involving this card instead.,2.4,
0049,Amazoness Tiger,Monster (Effect),1100,1500,"You can only control 1 ""Amazoness Tiger"". This card gains 400 ATK for each ""Amazoness"" monster you c",2.1,
0050,Ameba,Monster (Effect),300,350,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of d",1.2,
0051,Amphibian Beast,Monster (Normal),2400,2000,"On land or in the sea, the speed of this monster is unmatchable.",4.1,
0052,Amphibious Bugroth,Monster (Fusion),1850,1300,"""Ground Attacker Bugroth"" + ""Defender of the Sea""",3.1,
0053,Amphibious Bugroth MK-3,Monster (Effect),1500,1300,"While ""Umi"" is face-up on the field, this card can attack your opponent's Life Points directly.",2.4,
0054,Amplifier,Spell,,,"Equip only to ""Jinzo"". While this card is equipped, the equipped monster's effect does not negate th",4.5,
0055,An Owl of Luck,Monster (Effect),300,500,"FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is",1.2,
0056,Ancient Brain,Monster (Normal),1000,700,A fallen fairy that is powerful in the dark.,1.5,
0057,Ancient Elf,Monster (Normal),1450,1200,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his en,2.3,
0058,Ancient Gear Beast,Monster (Effect),2000,2000,"Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards",3.4,
0059,Ancient Gear Golem,Monster (Effect),3000,3000,"Cannot be Special Summoned. If this card attacks, your opponent cannot activate any Spell/Trap Cards",5.2,
0060,Ancient Gear Soldier,Monster (Effect),1300,1300,"If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage",2.2,
0061,Ancient Jar,Monster (Normal),400,200,''A very fragile jar that contains something ancient and dangerous.'',1.1,
0062,Ancient Lamp,Monster (Effect),900,1400,"During your Main Phase: You can Special Summon ""La Jinn the Mystical Genie of the Lamp"" from your ha",2.1,
0063,Ancient Lizard Warrior,Monster (Normal),1400,1100,"Before the dawn of man, this lizard warrior ruled supreme.",2.3,
0064,Ancient One of the Deep Forest,Monster (Normal),1800,1900,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder.",3.1,
0065,Ancient Sorcerer,Monster (Normal),1000,1300,"''Armed with an array of magic wands, this creature is capable of multiple attacks.''",1.5,
0066,Ancient Telescope,Spell,,,See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.,2.3,
0067,Ancient Tool,Monster (Normal),1700,1400,A destructive machine discovered in the Ruins of the Ancients.,1.5,
0068,Ancient Tree of Enlightenment,Monster (Normal),600,1500,''This ancient arbor uses its extensive knowledge to avoid the damage of enemy attacks.'',1.3,
0069,Andro Sphinx,Monster (Effect),3000,2500,"You can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. Thi",5.2,
0070,Ansatsu,Monster (Normal),1700,1200,A silent and deadly warrior specializing in assassinations.,1.5,
0071,Ante,Spell,,,"Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card wit",2.3,
