Nº	NOME	TIPO	ATRIBUTO	RAÇA/PROPRIEDADE	LV	ATK	DEF	ID	DESC
0001	3-Hump Lacooda	Monster (Effect)	EARTH	Beast	3	500	1500	86988864	If there are 3 face-up "3-Hump Lacooda" cards on your side of the field, Tribute 2 of them to draw 3 cards.
0002	30,000-Year White Turtle	Monster (Normal)	WATER	Aqua	5	1250	2100	11714098	''A huge turtle that has existed for over 30,000 years.''
0003	4-Starred Ladybug of Doom	Monster (Effect)	WIND	Insect	3	800	1200	83994646	FLIP: Destroy all Level 4 monsters your opponent controls.
0004	7	Spell Card		Continuous				67048711	When there are 3 face-up "7" cards on your side of the field, draw 3 cards from your Deck. Then destroy all "7" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.
0005	7 Colored Fish	Monster (Normal)	WATER	Fish	4	1800	800	23771716	A rare rainbow fish that has never been caught by mortal man.
0006	7 Completed	Spell Card		Equip				86198326	Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice.
0007	8-Claws Scorpion	Monster (Effect)	DARK	Insect	2	300	200	14261867	Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.
0008	A Cat of Ill Omen	Monster (Effect)	DARK	Beast	2	500	300	24140059	FLIP: Choose 1 Trap from your Deck and place it on top of your Deck, or, if "Necrovalley" is on the field, you can add that Trap to your hand instead.
0009	A Deal with Dark Ruler	Spell Card		Quick-Play				6850209	(This card is always treated as an "Archfiend" card.) If a Level 8 or higher monster under your control was sent to the Graveyard this turn: Special Summon 1 "Berserk Dragon" from your hand or Deck.
0010	A Feather of the Phoenix	Spell Card		Normal				49140998	Discard 1 card, then target 1 card in your GY; return that target to the top of your Deck.
0011	A Feint Plan	Trap Card		Normal				68170903	A player cannot attack face-down monsters during this turn.
0012	A Hero Emerges	Trap Card		Normal				21597117	When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.
0013	A Legendary Ocean	Spell Card		Field				295517	(This card's name is always treated as "Umi".)  All WATER monsters on the field gain 200 ATK/DEF. Reduce the Level of all WATER monsters in both players' hands and on the field by 1.
